| No. | 元素           |  Rare  | キャラ  | デザイン原案                                   |
| --: | ------------ | :----: | ---- | ---------------------------------------- |
|   1 | H 水素         | **UR** | 少女   | 白銀髪の「始まりの精霊」。極端に軽い衣装と大量の浮遊水滴。身体そのものが淡く発光 |
|   2 | He ヘリウム      |   SR   | 少女   | ふわふわした空色髪。風船やシャボン玉と一緒に宙を漂う無重力少女          |
|   3 | Li リチウム      |   SR   | 女性   | 赤系ショートヘアのメカニック。小型バッテリー型バッグを背負う           |
|   4 | Be ベリリウム     |    R   | 男性   | 淡緑色の結晶アクセサリーをつけた細身の青年                    |
|   5 | B ホウ素        |    R   | 女性   | 黒い結晶のアクセサリーを身につけた無口な砂漠の少女                |
|   6 | C 炭素         | **UR** | 女性   | 黒髪女性。半身が黒鉛、半身がダイヤモンドという二面デザイン            |
|   7 | N 窒素         |   SR   | 男性   | 青灰色の長髪青年。薄い霧が常に身体の周囲を流れる                 |
|   8 | O 酸素         | **UR** | 女性   | 白青のロングヘア。生命を象徴する花と燃焼を表す青炎を同時に纏う          |
|   9 | F フッ素        |   SR   | 女性   | 黄緑髪の危険そうな少女。手袋必須で「触るな」感のあるデザイン           |
|  10 | Ne ネオン       |   SR   | 女性   | ネオンカラーのストリートファッション。髪や服のラインそのものが発光        |
|  11 | Na ナトリウム     |   SR   | 少年   | 元気すぎる海辺の少年。水を見るとテンションが上がる                |
|  12 | Mg マグネシウム    |   SR   | 男性   | 白髪で快活な青年。写真を撮ると真っ白になるほど強く発光              |
|  13 | Al アルミニウム    |    R   | 女性   | 銀髪ショート。軽量素材のスポーティーな服                     |
|  14 | Si ケイ素       |   SR   | 女性   | 紫黒髪の電子技師。透明な六角形パネルが周囲に浮く                 |
|  15 | P リン         |   SR   | 女性   | 夜になると髪先が青白く光るゴシック少女                      |
|  16 | S 硫黄         |   SR   | 男性   | 黄色系の鍛冶職人。煤で汚れた豪快なお兄さん                    |
|  17 | Cl 塩素        |   SR   | 女性   | 緑がかった髪の薬剤師。薬瓶や消毒器具を持つ                    |
|  18 | Ar アルゴン      |   SR   | 女性   | 紫髪の孤高のお嬢様。周囲に透明な膜のような結界                  |
|  19 | K カリウム       |    R   | 女性   | 紫色をアクセントにした活発な体育会系少女                     |
|  20 | Ca カルシウム     |   SR   | 男性   | 白髪の爽やかな青年。骨格を思わせる白いアクセサリー                |
|  21 | Sc スカンジウム    |    R   | 女性   | 青銀の旅行好きな少女。軽装のアウトドアスタイル                  |
|  22 | Ti チタン       |   SR   | 男性   | 長身でがっしりした銀髪男性。シンプルだが高級感ある服               |
|  23 | V バナジウム      |    R   | 女性   | 見る角度で衣装の色が変化するファッションモデル                  |
|  24 | Cr クロム       |   SR   | 男性   | 鏡面のジャケットを着た派手好き青年。かなりナルシスト               |
|  25 | Mn マンガン      |    R   | 男性   | 紫黒髪の鉱山作業員風青年                             |
|  26 | Fe 鉄         | **UR** | 男性   | 重厚な黒鉄色の騎士風男性。赤錆色を差し色にした王道ヒーロー            |
|  27 | Co コバルト      |   SR   | 女性   | 深いコバルトブルーのドレスを着た陶芸家                      |
|  28 | Ni ニッケル      |    R   | 男性   | 無骨な工場技師。耐久性を感じる作業着                       |
|  29 | Cu 銅         |   SR   | 女性   | 赤茶髪＋緑青アクセサリー。電線のような長い髪飾り                 |
|  30 | Zn 亜鉛        |    R   | 女性   | 仲間の世話を焼く保健委員タイプ                          |
|  31 | Ga ガリウム      |    R   | 少女   | 銀髪のいたずらっ子。手の中で銀色液体を溶かして遊ぶ                |
|  32 | Ge ゲルマニウム    |    R   | 男性   | レトロなコンピューター好きの青年                         |
|  33 | As ヒ素        |    R   | 女性   | 白肌＋黒髪の妖艶なお姉さん。美しいが近寄りがたい                 |
|  34 | Se セレン       |    R   | 女性   | カメラを持った銀髪写真家                             |
|  35 | Br 臭素        |   SR   | 女性   | 赤褐色の髪。ガラス瓶をたくさん持った怪しい少女                  |
|  36 | Kr クリプトン     |   SR   | 男性   | 白紫色の無表情青年。身体の一部が半透明                      |
|  37 | Rb ルビジウム     |    R   | 女性   | 赤紫髪。落ち着きがなく常にそわそわしている                    |
|  38 | Sr ストロンチウム   |   SR   | 少女   | 真っ赤な祭衣装の花火職人                             |
|  39 | Y イットリウム     |    R   | 女性   | 白髪の近未来的アイドル。淡いレーザー光                      |
|  40 | Zr ジルコニウム    |    R   | 男性   | 白磁のような肌と服を持つ静かな青年                        |
|  41 | Nb ニオブ       |    R   | 女性   | 青黒髪。浮遊する金属アクセサリーを持つ                      |
|  42 | Mo モリブデン     |    R   | 男性   | 大柄な工房主。耐熱エプロン姿                           |
|  43 | Tc テクネチウム    |    R   | 女性   | 人工的に作られた無機質な少女。胸元に小さな発光コア                |
|  44 | Ru ルテニウム     |    R   | 男性   | 黒銀のスーツ姿。几帳面な執事風                          |
|  45 | Rh ロジウム      |    R   | 女性   | 真珠のような白銀ドレスを着た令嬢                         |
|  46 | Pd パラジウム     |    R   | 女性   | 白銀髪の研究員。スポンジ状の不思議な小物                     |
|  47 | Ag 銀         | **UR** | 女性   | 月を背負った銀髪の聖女。髪・瞳・装飾すべて銀主体                 |
|  48 | Cd カドミウム     |    R   | 女性   | 黄色・橙色を好む画家。絵の具まみれ                        |
|  49 | In インジウム     |    R   | 少女   | 青銀髪。液晶を思わせる透明な服飾                         |
|  50 | Sn スズ        |    R   | 少年   | 玩具の兵隊をイメージした可愛い少年                        |
|  51 | Sb アンチモン     |    R   | 女性   | 黒白衣装の占い師。尖った結晶アクセサリー                     |
|  52 | Te テルル       |    R   | 男性   | 地質学者の青年。銀灰の長髪                            |
|  53 | I ヨウ素        |   SR   | 女性   | 紫髪の薬師。紫煙のような長いストール                       |
|  54 | Xe キセノン      |   SR   | 男性   | 青白く発光する王子。神秘的でほとんど喋らない                   |
|  55 | Cs セシウム      |   SR   | 女性   | 金髪のお転婆令嬢。非常に危なっかしい                       |
|  56 | Ba バリウム      |    R   | 男性   | 大柄で陽気な花火師。緑色の光を使う                        |
|  57 | La ランタン      |    R   | 女性   | ランタンを持つ旅人。柔らかい白銀髪                        |
|  58 | Ce セリウム      |    R   | 少女   | 火打石で火花を出して遊ぶ元気な子                         |
|  59 | Pr プラセオジム    |    N   | 女性   | 黄緑の眼鏡をかけたガラス職人                           |
|  60 | Nd ネオジム      |   SR   | 女性   | 紫髪。強力な磁石で髪飾りや金属小物を浮かせている                 |
|  61 | Pm プロメチウム    |    N   | 女性   | 淡い青光を放つ儚げな少女                             |
